Error,Reference
invalid_request,"[RFC9635, Section 3.6]"
invalid_client,"[RFC9635, Section 3.6]"
invalid_interaction,"[RFC9635, Section 3.6]"
invalid_flag,"[RFC9635, Section 3.6]"
invalid_rotation,"[RFC9635, Section 3.6]"
key_rotation_not_supported,"[RFC9635, Section 3.6]"
invalid_continuation,"[RFC9635, Section 3.6]"
user_denied,"[RFC9635, Section 3.6]"
request_denied,"[RFC9635, Section 3.6]"
unknown_interaction,"[RFC9635, Section 3.6]"
unknown_user,"[RFC9635, Section 3.6]"
too_fast,"[RFC9635, Section 3.6]"
too_many_attempts,"[RFC9635, Section 3.6]"
